power.draw [W]
52.66 W
229.73 W
239.70 W
222.14 W
238.59 W
256.78 W
57.32 W
239.88 W
248.80 W
53.93 W
59.02 W
227.55 W
221.84 W
204.58 W
225.79 W
228.58 W
57.10 W
239.26 W
235.92 W
53.69 W
49.03 W
228.01 W
245.76 W
243.69 W
229.53 W
236.78 W
57.52 W
232.20 W
239.72 W
53.93 W
48.47 W
234.12 W
229.12 W
227.09 W
225.52 W
236.51 W
57.01 W
223.23 W
224.73 W
53.69 W
12.95 W
249.47 W
229.37 W
254.22 W
200.44 W
271.85 W
57.04 W
227.72 W
214.75 W
53.97 W
12.72 W
218.74 W
176.52 W
164.22 W
259.46 W
233.64 W
56.83 W
227.00 W
216.78 W
54.00 W
12.77 W
181.52 W
211.43 W
166.29 W
224.46 W
165.80 W
56.80 W
212.06 W
208.50 W
53.97 W
12.99 W
255.48 W
271.93 W
250.78 W
247.90 W
260.11 W
56.57 W
250.04 W
239.15 W
53.94 W
12.80 W
252.50 W
262.19 W
233.30 W
239.50 W
250.09 W
56.72 W
197.17 W
183.51 W
53.93 W
15.18 W
265.80 W
228.65 W
206.80 W
261.63 W
224.62 W
56.79 W
216.94 W
205.07 W
53.96 W
15.68 W
242.21 W
261.32 W
198.08 W
198.93 W
190.05 W
56.58 W
178.69 W
210.05 W
53.73 W
12.93 W
253.79 W
263.90 W
246.66 W
264.63 W
252.54 W
56.51 W
188.21 W
208.94 W
64.25 W
13.00 W
224.11 W
236.44 W
239.05 W
217.73 W
224.16 W
56.48 W
225.57 W
234.49 W
63.36 W
12.95 W
243.17 W
244.99 W
219.56 W
224.01 W
242.44 W
56.49 W
210.19 W
185.63 W
54.28 W
13.11 W
239.30 W
247.11 W
227.24 W
238.50 W
245.43 W
56.69 W
246.45 W
201.66 W
53.96 W
12.76 W
219.88 W
234.37 W
208.74 W
244.07 W
225.11 W
56.45 W
244.33 W
173.76 W
54.21 W
12.54 W
236.33 W
237.68 W
227.37 W
227.28 W
235.59 W
56.41 W
243.40 W
219.21 W
205.01 W
13.05 W
229.18 W
240.64 W
233.30 W
231.21 W
240.96 W
56.69 W
272.53 W
245.80 W
63.65 W
12.89 W
232.65 W
238.03 W
220.54 W
231.49 W
249.50 W
56.27 W
260.02 W
226.42 W
63.08 W
13.05 W
236.87 W
247.13 W
229.56 W
241.66 W
239.59 W
56.54 W
243.79 W
234.48 W
54.43 W
12.86 W
223.95 W
231.49 W
226.93 W
238.35 W
232.50 W
56.27 W
229.07 W
231.77 W
53.93 W
13.10 W
241.09 W
237.40 W
240.39 W
218.58 W
231.44 W
56.29 W
237.47 W
265.97 W
54.21 W
13.20 W
233.50 W
244.47 W
234.48 W
244.92 W
236.08 W
56.52 W
228.07 W
259.62 W
54.18 W
13.15 W
241.96 W
248.13 W
211.04 W
231.25 W
247.36 W
56.44 W
222.32 W
254.37 W
54.20 W
13.05 W
225.56 W
231.88 W
230.80 W
234.49 W
233.44 W
56.52 W
230.07 W
222.76 W
54.17 W
13.12 W
254.55 W
272.45 W
249.89 W
164.09 W
266.86 W
56.54 W
222.74 W
253.49 W
54.20 W
12.70 W
176.87 W
250.65 W
232.20 W
173.93 W
233.00 W
56.46 W
266.47 W
190.56 W
54.56 W
13.06 W
266.52 W
200.35 W
213.96 W
169.09 W
232.31 W
56.46 W
180.74 W
217.48 W
54.15 W
13.26 W
212.03 W
173.72 W
162.45 W
169.70 W
222.47 W
56.52 W
217.92 W
187.27 W
53.94 W
12.86 W
271.62 W
261.05 W
252.14 W
246.31 W
257.76 W
56.48 W
192.22 W
221.66 W
54.25 W
13.01 W
248.75 W
245.76 W
253.66 W
247.00 W
247.93 W
56.69 W
213.88 W
175.19 W
54.18 W
12.92 W
264.74 W
247.16 W
256.29 W
156.08 W
246.68 W
56.54 W
245.62 W
204.69 W
53.96 W
13.00 W
256.08 W
252.62 W
262.54 W
241.50 W
256.54 W
56.51 W
191.68 W
238.48 W
54.17 W
12.91 W
230.84 W
244.08 W
231.72 W
238.74 W
238.76 W
56.30 W
201.07 W
205.99 W
54.50 W
13.15 W
222.09 W
231.63 W
214.59 W
243.30 W
242.84 W
57.23 W
243.23 W
131.45 W
53.96 W
12.91 W
242.13 W
234.96 W
229.01 W
219.90 W
235.51 W
56.34 W
217.13 W
149.82 W
54.28 W
12.71 W
234.64 W
224.83 W
230.33 W
227.24 W
233.44 W
56.27 W
234.43 W
202.51 W
54.18 W
12.55 W
239.06 W
247.55 W
244.79 W
233.85 W
228.36 W
56.54 W
245.70 W
233.93 W
54.28 W
12.66 W
228.56 W
243.47 W
230.38 W
236.97 W
240.31 W
56.75 W
239.31 W
220.53 W
54.18 W
16.75 W
223.05 W
233.37 W
221.39 W
229.54 W
249.73 W
56.98 W
226.05 W
207.65 W
54.20 W
16.06 W
218.15 W
235.59 W
213.23 W
223.55 W
229.82 W
56.54 W
257.24 W
227.05 W
54.18 W
16.06 W
235.19 W
244.73 W
232.01 W
233.56 W
235.16 W
56.75 W
235.45 W
257.35 W
54.00 W
15.96 W
236.04 W
244.52 W
233.88 W
236.80 W
225.42 W
56.52 W
216.13 W
243.44 W
54.17 W
51.66 W
230.12 W
230.06 W
217.76 W
238.57 W
248.72 W
56.20 W
242.81 W
236.07 W
